Name	Centrality	Rank
OTU09	8.295446	1
OTU31	7.613305	2
OTU24	7.584769	3
OTU02	7.522583	4
OTU33	7.500090	5
OTU17	7.385325	6
OTU16	7.066507	7
OTU18	6.793676	8
OTU13	6.674920	9
OTU37	6.312243	10
OTU15	6.252240	11
OTU35	6.153950	12
OTU06	6.005994	13
OTU12	5.978639	14
OTU05	5.867415	15
OTU28	5.830298	16
OTU03	5.728046	17
OTU27	5.306024	18
OTU21	5.286953	19
OTU19	5.260165	20
OTU20	5.234168	21
OTU08	5.230854	22
OTU30	5.194204	23
OTU36	5.179750	24
OTU22	5.105770	25
OTU34	4.839379	26
OTU10	4.831119	27
OTU32	4.764388	28
OTU00	4.492595	29
OTU04	4.344966	30
OTU23	4.340835	31
OTU25	4.303788	32
OTU29	4.280327	33
OTU14	4.160778	34
OTU39	4.143041	35
OTU11	4.105482	36
OTU07	4.085429	37
OTU26	3.630225	38
OTU01	3.615752	39
OTU38	3.358159	40
