"","OTU00","OTU01","OTU02","OTU03","OTU04","OTU05","OTU06","OTU07","OTU08","OTU09","OTU10","OTU11","OTU12","OTU13","OTU14","OTU15","OTU16","OTU17","OTU18","OTU19","OTU20","OTU21","OTU22","OTU23","OTU24","OTU25","OTU26","OTU27","OTU28","OTU29","OTU30","OTU31","OTU32","OTU33","OTU34","OTU35","OTU36","OTU37","OTU38","OTU39"
"OTU00",1,0,0.914649,0.723544,0,0,0,0.812596,0.931691,0.90569,0,-0.795575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU01",0,1,0.75681,0.715954,0,0.889522,0.942675,0,0,0.81668,0,0,0,0,-0.746514,0,0,0,0,0,0,0,0,0,0,0,-0.759375,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU02",0.914649,0.75681,1,0.738572,0.886191,0,0.792615,0.747368,0.818926,0.867453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU03",0.723544,0.715954,0.738572,1,0.90817,0,0.908065,0,0.772082,0.734938,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.773278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU04",0,0,0.886191,0.90817,1,0.701841,0,0.876291,0,0.842185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.869712,0,0,0,0
"OTU05",0,0.889522,0,0,0.701841,1,0.728633,0.817774,0.89125,0.838395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU06",0,0.942675,0.792615,0.908065,0,0.728633,1,0.775988,0.809179,0.802132,0,0,0,0,0,0,-0.753293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU07",0.812596,0,0.747368,0,0.876291,0.817774,0.775988,1,0,0.714576,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.775893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.88327
"OTU08",0.931691,0,0.818926,0.772082,0,0.89125,0.809179,0,1,0.773398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.765672,0,0,0,0,0
"OTU09",0.90569,0.81668,0.867453,0.734938,0.842185,0.838395,0.802132,0.714576,0.773398,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
