Name	Centrality	Rank
F.Burkholderiaceae.02	19.594364	1
Microbacterium.01	19.537722	2
Chryseobacterium.01	19.458588	3
O.Burkholderiales.01	19.128153	4
C.Gammaproteobacteria.09	18.877541	5
Gp2.02	18.186087	6
C.Gammaproteobacteria.10	17.849487	7
Metascardovia.01	17.849487	8
Rhizobium.01	17.191383	9
F.Burkholderiaceae.01	16.973877	10
Lactobacillus.01	16.590260	11
Ralstonia.01	16.575783	12
C.Gammaproteobacteria.06	16.007839	13
Propionibacterium.02	16.006521	14
P.Firmicutes.01	15.905653	15
Burkholderia.01	15.631433	16
C.Gammaproteobacteria.05	14.126082	17
C.Gammaproteobacteria.02	14.063545	18
F.Pseudomonadaceae.01	12.932136	19
C.Gammaproteobacteria.03	12.721618	20
F.Pseudomonadaceae.02	8.961652	21
C.Gammaproteobacteria.08	8.914454	22
F.Erysipelotrichaceae.01	8.311089	23
Megasphaera.01	8.162158	24
Atopobium.02	8.157379	25
Atopobium.01	8.096153	26
Bifidobacterium.01	7.530569	27
Peptoniphilus.02	7.530569	28
Peptoniphilus.03	7.530569	29
TM7_genus_incertae_sedis.06	7.520910	30
TM7_genus_incertae_sedis.05	7.467319	31
Bulleidia.01	7.384618	32
Porphyromonas.03	7.297498	33
F.Alcaligenaceae.01	7.277956	34
C.Gammaproteobacteria.11	7.126643	35
Acinetobacter.01	7.048210	36
C.Gammaproteobacteria.04	7.000824	37
TM7_genus_incertae_sedis.04	6.734426	38
F.Neisseriaceae.01	6.513942	39
F.Pasteurellaceae.02	6.503073	40
Pseudomonas.02	6.460070	41
O.Actinomycetales.04	6.423981	42
Carnobacterium.01	6.385860	43
Prevotella.03	6.319193	44
Actinomyces.01	6.252455	45
Acinetobacter.02	6.061381	46
Fusobacterium.01	6.029866	47
F.Prevotellaceae.02	-5.889223	48
Dolosigranulum.01	5.618169	49
C.Gammaproteobacteria.01	5.488601	50
Actinomyces.02	5.436036	51
Anaerococcus.02	5.331322	52
TM7_genus_incertae_sedis.08	5.298923	53
Selenomonas.03	5.257805	54
F.Enterobacteriaceae.01	5.248449	55
F.Pasteurellaceae.01	4.678288	56
Solobacterium.01	4.621107	57
Prevotella.02	4.581801	58
Prevotella.01	4.570078	59
Veillonella.01	4.567692	60
Eubacterium.01	4.564124	61
Capnocytophaga.01	4.550547	62
Prevotella.08	4.469333	63
TM7_genus_incertae_sedis.02	4.468407	64
Fusobacterium.02	4.463700	65
Prevotella.07	4.400410	66
F.Comamonadaceae.01	4.347979	67
Selenomonas.02	3.751228	68
Propionibacterium.01	3.719518	69
Mycoplasma.01	3.713763	70
Parvimonas.03	3.706428	71
TM7_genus_incertae_sedis.03	3.664973	72
O.Clostridiales.02	3.625720	73
Treponema.01	3.625228	74
Paracoccus.01	3.578505	75
Porphyromonas.02	3.566630	76
Parvimonas.01	3.549709	77
O.Clostridiales.05	3.534917	78
Neisseria.01	3.530406	79
Pseudomonas.01	3.490017	80
Gp2.01	3.450216	81
Prevotella.10	2.861019	82
Anaerococcus.01	2.827638	83
Sulfuricurvum.01	2.822262	84
Tannerella.01	2.807089	85
C.Betaproteobacteria.01	2.758977	86
O.Bacteroidales.02	2.738921	87
TM7_genus_incertae_sedis.07	2.700936	88
Catonella.01	2.698227	89
C.Gammaproteobacteria.07	2.670622	90
Porphyromonas.01	2.665120	91
F.Carnobacteriaceae.01	2.664470	92
Streptococcus.01	2.652860	93
Prevotella.05	2.626701	94
Staphylococcus.01	-2.312267	95
Gemella.01	1.906288	96
Prevotella.06	1.893878	97
TM7_genus_incertae_sedis.01	1.892730	98
Dyella.01	1.890727	99
F.Rhodocyclaceae.01	1.890727	100
Peptostreptococcus.01	1.880539	101
Marinobacter.01	1.869313	102
F.Prevotellaceae.03	1.842433	103
Alicyclobacillus.01	1.838018	104
Peptoniphilus.01	1.827400	105
O.Actinomycetales.02	1.822740	106
C.Betaproteobacteria.02	1.000000	107
Campylobacter.01	1.000000	108
Corynebacterium.01	1.000000	109
Corynebacterium.02	1.000000	110
F.Comamonadaceae.02	1.000000	111
F.Xanthomonadaceae.01	1.000000	112
Mogibacterium.01	1.000000	113
O.Actinomycetales.03	1.000000	114
O.Bacteroidales.01	1.000000	115
O.Clostridiales.01	1.000000	116
O.Clostridiales.03	1.000000	117
O.Clostridiales.04	1.000000	118
Parvimonas.02	1.000000	119
Prevotella.04	1.000000	120
Prevotella.09	1.000000	121
Selenomonas.01	1.000000	122
Tropheryma.01	1.000000	123
Veillonella.02	1.000000	124
F.Prevotellaceae.01	0.202152	125
O.Actinomycetales.01	0.202152	126
